id	usable	usable2	software_author
GSE100033	no	no	author
GSE100037	no	no	author
GSE100058	no	no	author
GSE100106	no	no	none
GSE100118	no	no	none
GSE100274	no	no	author
GSE100320	no	no	none
GSE100337	no	no	author
GSE100344	no	no	none
GSE100384	no	no	none
GSE100389	no	no	none
GSE100412	no	no	none
GSE100426	no	no	author
GSE100449	no	no	none
GSE100471	no	no	author
GSE100474	no	no	none
GSE100501	no	no	none
GSE100584	no	no	author
GSE100586	no	no	author
GSE100597	no	no	author
GSE100607	no	no	author
GSE100618	no	no	author
GSE100669	yes	meta	none
GSE100694	no	no	author
GSE100706	no	no	none
GSE100725	no	no	none
GSE100771	no	no	author
GSE100861	no	no	none
GSE100866	no	no	author
GSE100913	no	no	author
GSE101099	no	no	author
GSE101181	no	no	none
GSE101207	no	no	author
GSE101334	no	no	author
GSE101340	no	no	none
GSE101341	no	no	none
GSE101487	no	no	none
GSE101518	no	no	author
GSE101519	no	no	author
GSE101558	no	no	none
GSE101601	no	no	author
GSE101712	no	no	author
GSE101901	no	no	none
GSE101984	no	no	none
GSE102048	no	no	author
GSE102086	no	no	none
GSE102090	no	no	none
GSE102130	no	no	author
GSE102163	no	no	author
GSE102299	no	no	author
GSE102332	no	no	none
GSE102443	no	no	none
GSE102456	no	no	none
GSE102475	no	no	author
GSE102479	no	no	none
GSE102580	yes	meta	author
GSE102591	no	no	none
GSE102596	no	no	none
GSE102665	no	no	none
GSE102698	no	no	author
GSE102748	no	no	author
GSE102827	yes	meta	author
GSE102929	no	no	none
GSE102934	no	no	author
GSE102935	no	no	none
GSE102962	no	no	author
GSE102990	no	no	author
GSE103011	no	no	none
GSE103185	no	no	none
GSE103221	no	no	author
GSE103224	no	no	author
GSE103239	no	no	none
GSE103275	no	no	author
GSE103322	no	no	author
GSE103334	no	no	author
GSE103354	yes	object	author
GSE103461	no	no	none
GSE103518	no	no	author
GSE103544	no	no	author
GSE103568	no	no	author
GSE103574	no	no	author
GSE103577	no	no	none
GSE103591	no	no	author
GSE103618	no	no	none
GSE103633	no	no	author
GSE103647	no	no	none
GSE103692	no	no	author
GSE103723	no	no	author
GSE103753	no	no	none
GSE103771	no	no	author
GSE103772	yes	meta	author
GSE103789	no	no	none
GSE103840	no	no	author
GSE103892	no	no	author
GSE103920	no	no	none
GSE103970	yes	meta	author
GSE103976	no	no	none
GSE104054	yes	meta	author
GSE104154	yes	meta	none
GSE104158	no	no	author
GSE104276	no	no	none
GSE104343	no	no	none
GSE104379	no	no	author
GSE104396	no	no	author
GSE104406	no	no	author
GSE104478	no	no	none
GSE104490	no	no	none
GSE104497	no	no	none
GSE104525	no	no	author
GSE104556	no	no	none
GSE104701	no	no	none
GSE104782	yes	meta	none
GSE104842	no	no	none
GSE104869	no	no	author
GSE104899	no	no	none
GSE104985	no	no	author
GSE104987	no	no	author
GSE105010	yes	object	author
GSE105054	no	no	author
GSE105115	no	no	author
GSE105119	no	no	none
GSE105211	no	no	none
GSE105267	no	no	none
GSE105454	no	no	author
GSE106078	no	no	none
GSE106118	no	no	none
GSE106121	no	no	none
GSE106202	no	no	none
GSE106218	no	no	author
GSE106219	no	no	author
GSE106236	no	no	none
GSE106245	no	no	author
GSE106251	no	no	none
GSE106268	no	no	author
GSE106269	no	no	author
GSE106273	yes	meta	author
GSE106391	no	no	none
GSE106447	no	no	author
GSE106471	no	no	none
GSE106472	no	no	none
GSE106487	no	no	author
GSE106489	no	no	none
GSE106510	no	no	author
GSE106514	no	no	none
GSE106544	no	no	none
GSE106587	no	no	author
GSE106636	no	no	none
GSE106663	no	no	none
GSE106676	no	no	author
GSE106678	no	no	author
GSE106708	no	no	author
GSE106850	no	no	none
GSE106856	no	no	none
GSE106872	no	no	none
GSE106882	no	no	none
GSE106888	no	no	author
GSE106960	no	no	none
GSE106973	no	no	author
GSE107115	no	no	author
GSE107122	no	no	author
GSE107152	no	no	author
GSE107153	no	no	author
GSE107185	no	no	author
GSE107220	no	no	none
GSE107451	yes	meta	author
GSE107493	no	no	author
GSE107517	no	no	author
GSE107527	no	no	none
GSE107552	no	no	author
GSE107585	no	no	author
GSE107618	no	no	author
GSE107632	no	no	none
GSE107644	yes	meta	none
GSE107646	no	no	author
GSE107653	yes	meta	none
GSE107711	no	no	none
GSE107723	no	no	author
GSE107727	no	no	author
GSE107740	no	no	none
GSE107747	no	no	none
GSE107761	no	no	author
GSE107771	no	no	none
GSE107794	no	no	author
GSE107864	no	no	none
GSE107873	no	no	author
GSE107874	no	no	author
GSE107909	no	no	none
GSE107910	no	no	author
GSE107947	no	no	author
GSE108020	no	no	none
GSE108041	no	no	author
GSE108067	no	no	none
GSE108097	no	no	author
GSE108108	no	no	author
GSE108129	no	no	author
GSE108155	no	no	author
GSE108222	no	no	none
GSE108230	no	no	none
GSE108233	no	no	none
GSE108261	no	no	none
GSE108275	no	no	author
GSE108287	no	no	none
GSE108288	no	no	none
GSE108291	no	no	author
GSE108313	no	no	author
GSE108359	no	no	author
GSE108378	no	no	none
GSE108397	no	no	none
GSE108416	no	no	none
GSE108427	no	no	none
GSE108443	no	no	author
GSE108444	no	no	author
GSE108463	no	no	none
GSE108478	no	no	author
GSE108546	no	no	author
GSE108556	no	no	none
GSE108561	no	no	author
GSE108571	no	no	none
GSE108578	no	no	none
GSE108612	no	no	none
GSE108653	no	no	none
GSE108677	no	no	none
GSE108679	no	no	none
GSE108699	yes	meta	author
GSE108709	no	no	none
GSE108761	no	no	author
GSE108775	no	no	author
GSE108788	no	no	author
GSE108811	no	no	none
GSE108849	no	no	author
GSE108891	yes	meta	author
GSE108963	no	no	none
GSE108970	no	no	none
GSE108974	no	no	none
GSE108977	no	no	none
GSE109033	no	no	none
GSE109037	no	no	none
GSE109049	no	no	none
GSE109071	no	no	author
GSE109085	no	no	author
GSE109100	no	no	author
GSE109113	no	no	none
GSE109205	no	no	none
GSE109247	no	no	none
GSE109262	no	no	author
GSE109281	no	no	none
GSE109308	no	no	none
GSE109324	no	no	none
GSE109444	no	no	none
GSE109447	no	no	author
GSE109449	yes	meta	author
GSE109488	no	no	author
GSE109524	no	no	none
GSE109535	no	no	none
GSE109542	yes	meta	author
GSE109555	no	no	none
GSE109556	no	no	none
GSE109564	no	no	author
GSE109706	no	no	none
GSE109707	no	no	author
GSE109718	no	no	none
GSE109742	yes	meta	author
GSE109761	yes	object	none
GSE109774	no	no	none
GSE109796	no	no	none
GSE109816	yes	meta	author
GSE109822	no	no	none
GSE109881	no	no	author
GSE109984	no	no	none
GSE109989	no	no	author
GSE109990	no	no	author
GSE109999	no	no	author
GSE110010	no	no	author
GSE110037	no	no	none
GSE110116	no	no	none
GSE110154	no	no	none
GSE110208	no	no	none
GSE110265	no	no	author
GSE110283	no	no	none
GSE110351	no	no	author
GSE110357	no	no	author
GSE110371	no	no	none
GSE110496	no	no	author
GSE110499	no	no	author
GSE110501	no	no	author
GSE110513	no	no	author
GSE110588	no	no	author
GSE110626	no	no	none
GSE110648	no	no	author
GSE110680	no	no	author
GSE110684	no	no	author
GSE110686	no	no	author
GSE110727	no	no	none
GSE110746	no	no	author
GSE110791	no	no	none
GSE110798	no	no	none
GSE110823	no	no	author
GSE110878	no	no	none
GSE110894	no	no	author
GSE110899	no	no	author
GSE110909	no	no	none
GSE110949	yes	meta	none
GSE110973	no	no	author
GSE111015	no	no	author
GSE111027	no	no	none
GSE111065	no	no	none
GSE111068	yes	meta	author
GSE111107	no	no	author
GSE111113	no	no	none
GSE111229	no	no	none
GSE111301	no	no	author
GSE111360	yes	meta	author
GSE111404	no	no	none
GSE111429	no	no	none
GSE111462	no	no	author
GSE111527	no	no	author
GSE111543	no	no	none
GSE111545	no	no	none
GSE111598	no	no	none
GSE111599	no	no	author
GSE111664	no	no	author
GSE111672	no	no	author
GSE111704	no	no	author
GSE111717	no	no	none
GSE111727	no	no	none
GSE111748	no	no	none
GSE111752	no	no	none
GSE111764	yes	meta	none
GSE111822	no	no	none
GSE111831	no	no	author
GSE111839	no	no	none
GSE111860	yes	meta	none
GSE111893	no	no	none
GSE111898	yes	meta	none
GSE111912	no	no	none
GSE111976	yes	meta	author
GSE112004	no	no	author
GSE112008	no	no	none
GSE112033	no	no	none
GSE112050	no	no	none
GSE112177	no	no	none
GSE112205	no	no	author
GSE112271	no	no	none
GSE112274	no	no	none
GSE112294	no	no	author
GSE112380	no	no	none
GSE112381	no	no	none
GSE112393	no	no	author
GSE112417	no	no	author
GSE112438	no	no	author
GSE112507	no	no	none
GSE112541	no	no	none
GSE112570	no	no	none
GSE112642	no	no	author
GSE112671	no	no	author
GSE112692	no	no	author
GSE112711	no	no	author
GSE112732	no	no	none
GSE112794	no	no	none
GSE112837	no	no	none
GSE112845	no	no	none
GSE112846	no	no	none
GSE112865	no	no	none
GSE112880	no	no	none
GSE112903	yes	meta	author
GSE112982	no	no	author
GSE113014	no	no	none
GSE113036	no	no	author
GSE113043	no	no	none
GSE113046	no	no	author
GSE113049	yes	meta	author
GSE113069	yes	meta	none
GSE113074	yes	meta	author
GSE113089	no	no	none
GSE113111	no	no	none
GSE113164	no	no	none
GSE113168	no	no	none
GSE113197	no	no	none
GSE113208	no	no	author
GSE113221	no	no	author
GSE113262	no	no	author
GSE113280	no	no	author
GSE113293	no	no	none
GSE113307	no	no	none
GSE113320	no	no	none
GSE113336	no	no	none
GSE113403	no	no	none
GSE113418	no	no	author
GSE113466	no	no	none
GSE113502	no	no	author
GSE113530	no	no	author
GSE113536	no	no	none
GSE113560	no	no	author
GSE113561	yes	meta	author
GSE113576	no	no	author
GSE113605	no	no	author
GSE113616	no	no	author
GSE113660	no	no	author
GSE113675	no	no	none
GSE113689	no	no	author
GSE113765	no	no	none
GSE113766	no	no	none
GSE113788	no	no	author
GSE113807	no	no	author
GSE113811	no	no	author
GSE113854	no	no	author
GSE113901	no	no	none
GSE113917	no	no	none
GSE113931	no	no	author
GSE113973	no	no	author
GSE113985	no	no	none
GSE113990	no	no	none
GSE114000	yes	meta	author
GSE114044	no	no	author
GSE114071	no	no	author
GSE114156	no	no	author
GSE114157	no	no	none
GSE114161	no	no	author
GSE114186	no	no	none
GSE114220	no	no	author
GSE114239	no	no	author
GSE114278	no	no	none
GSE114279	no	no	none
GSE114297	no	no	none
GSE114312	no	no	none
GSE114313	no	no	none
GSE114314	no	no	none
GSE114374	no	no	none
GSE114396	no	no	none
GSE114397	yes	meta	author
GSE114412	yes	meta	author
GSE114446	no	no	author
GSE114454	no	no	none
GSE114459	no	no	none
GSE114460	no	no	none
GSE114461	no	no	none
GSE114530	no	no	none
GSE114569	yes	meta	author
GSE114615	no	no	none
GSE114670	no	no	author
GSE114687	yes	meta	author
GSE114704	no	no	none
GSE114713	no	no	none
GSE114727	yes	meta	author
GSE114748	no	no	none
GSE114759	yes	meta	none
GSE114793	no	no	none
GSE114802	no	no	author
GSE114822	no	no	none
GSE114895	yes	object	author
GSE114952	no	no	none
GSE114961	no	no	author
GSE114986	no	no	none
GSE114988	no	no	author
GSE114997	no	no	none
GSE115006	no	no	none
GSE115007	no	no	none
GSE115008	no	no	none
GSE115011	no	no	author
GSE115030	yes	object	author
GSE115032	no	no	author
GSE115033	no	no	author
GSE115070	yes	meta	author
GSE115097	no	no	none
GSE115140	no	no	none
GSE115149	no	no	none
GSE115189	no	no	author
GSE115218	no	no	author
GSE115235	no	no	none
GSE115242	no	no	none
GSE115243	yes	meta	none
GSE115251	no	no	author
GSE115257	no	no	none
GSE115280	no	no	none
GSE115297	no	no	none
GSE115298	no	no	none
GSE115299	no	no	none
GSE115301	yes	meta	author
GSE115331	no	no	none
GSE115346	no	no	author
GSE115350	no	no	author
GSE115389	no	no	author
GSE115397	no	no	none
GSE115404	no	no	author
GSE115405	no	no	author
GSE115424	no	no	none
GSE115427	no	no	author
GSE115469	no	no	author
GSE115476	no	no	none
GSE115501	no	no	none
GSE115571	no	no	none
GSE115600	no	no	author
GSE115612	no	no	author
GSE115622	no	no	author
GSE115628	no	no	none
GSE115640	no	no	none
GSE115723	no	no	none
GSE115730	no	no	none
GSE115746	yes	meta	author
GSE115765	no	no	author
GSE115795	no	no	none
GSE115798	no	no	author
GSE115803	no	no	none
GSE115859	no	no	none
GSE115861	no	no	author
GSE115865	no	no	none
GSE115869	no	no	none
GSE115884	no	no	author
GSE115900	no	no	none
GSE115903	no	no	author
GSE115908	no	no	author
GSE115926	no	no	none
GSE115931	no	no	author
GSE115934	no	no	none
GSE115936	no	no	author
GSE115937	no	no	author
GSE115950	no	no	none
GSE115953	no	no	author
GSE115955	no	no	none
GSE115956	no	no	none
GSE115968	no	no	author
GSE115978	yes	meta	author
GSE115982	no	no	none
GSE115986	no	no	none
GSE115997	no	no	none
GSE116001	no	no	none
GSE116011	no	no	author
GSE116031	no	no	none
GSE116106	no	no	author
GSE116113	no	no	none
GSE116138	no	no	none
GSE116140	no	no	none
GSE116165	no	no	author
GSE116180	no	no	author
GSE116222	no	no	none
GSE116237	no	no	author
GSE116240	no	no	author
GSE116254	no	no	author
GSE116256	no	no	none
GSE116341	no	no	author
GSE116390	yes	meta	none
GSE116397	no	no	none
GSE116426	no	no	author
GSE116470	yes	meta	author
GSE116481	yes	meta	author
GSE116482	no	no	author
GSE116500	no	no	author
GSE116514	no	no	none
GSE116530	no	no	author
GSE116555	yes	object	none
GSE116614	no	no	none
GSE116621	no	no	none
GSE116672	no	no	author
GSE116683	no	no	author
GSE116708	no	no	none
GSE116718	no	no	none
GSE116753	no	no	author
GSE116920	no	no	author
GSE116946	no	no	none
GSE116947	no	no	none
GSE117011	no	no	none
GSE117053	no	no	none
GSE117055	no	no	none
GSE117075	no	no	none
GSE117078	no	no	author
GSE117079	no	no	author
GSE117089	yes	meta	author
GSE117129	no	no	none
GSE117131	yes	meta	none
GSE117149	no	no	none
GSE117154	no	no	none
GSE117156	yes	meta	author
GSE117166	no	no	none
GSE117176	no	no	none
GSE117211	no	no	author
GSE117216	no	no	author
GSE117219	no	no	none
GSE117229	no	no	none
GSE117233	no	no	none
GSE117271	no	no	author
GSE117309	no	no	none
GSE117382	no	no	author
GSE117394	no	no	none
GSE117397	no	no	none
GSE117403	no	no	author
GSE117410	no	meta	author
GSE117437	no	no	none
GSE117449	no	no	none
GSE117470	no	no	none
GSE117480	no	no	none
GSE117498	no	no	author
GSE117512	no	no	none
GSE117542	no	no	author
GSE117567	no	no	none
GSE117570	no	no	none
GSE117599	no	no	none
GSE117615	no	no	author
GSE117708	no	no	none
GSE117715	no	no	author
GSE117770	no	no	none
GSE117795	no	no	author
GSE117803	no	no	none
GSE117826	no	no	author
GSE117837	no	no	none
GSE117872	no	no	author
GSE117891	no	no	none
GSE117893	no	no	none
GSE117895	no	no	author
GSE117963	no	no	none
GSE117988	no	no	none
GSE117997	no	no	none
GSE118019	no	no	none
GSE118055	no	no	none
GSE118056	no	no	none
GSE118068	no	no	none
GSE118122	no	no	author
GSE118127	no	no	none
GSE118137	no	no	none
GSE118180	no	no	none
GSE118184	no	no	author
GSE118194	no	no	author
GSE118209	no	no	none
GSE118234	no	no	none
GSE118237	yes	meta	none
GSE118252	no	no	author
GSE118257	yes	meta	author
GSE118258	yes	meta	none
GSE118292	no	no	none
GSE118312	no	no	none
GSE118322	yes	meta	author
GSE118390	no	no	none
GSE118404	no	no	none
GSE118410	no	no	none
GSE118412	no	no	none
GSE118436	no	no	author
GSE118486	no	no	author
GSE118487	no	no	none
GSE118545	no	no	author
GSE118546	yes	object	author
GSE118555	no	no	none
GSE118577	no	no	none
GSE118599	no	no	none
GSE118614	no	no	author
GSE118682	no	no	none
GSE118723	yes	meta	author
GSE118726	no	no	none
GSE118733	no	no	none
GSE118734	no	no	none
GSE118767	yes	meta	author
GSE118768	no	no	none
GSE118773	no	no	none
GSE118814	no	no	none
GSE118828	yes	meta	none
GSE118852	no	no	author
GSE118891	no	no	author
GSE118900	no	no	none
GSE118904	no	no	none
GSE118918	no	no	none
GSE118931	no	no	none
GSE118932	no	no	author
GSE118948	no	no	author
GSE118953	no	no	none
GSE118987	no	no	none
GSE119045	no	no	none
GSE119060	no	no	none
GSE119139	no	no	author
GSE119212	no	no	none
GSE119228	yes	meta	author
GSE119271	no	no	none
GSE119274	no	no	none
GSE119323	no	no	author
GSE119324	no	no	author
GSE119343	no	no	none
GSE119352	yes	meta	author
GSE119355	no	no	author
GSE119373	no	no	none
GSE119428	yes	meta	author
GSE119450	no	no	author
GSE119455	no	no	none
GSE119484	no	no	none
GSE119506	no	no	none
GSE119507	no	no	none
GSE119531	yes	meta	author
GSE119561	no	no	none
GSE119562	no	no	none
GSE119594	no	no	none
GSE119630	no	no	none
GSE119750	yes	meta	author
GSE119766	no	no	none
GSE119807	no	no	none
GSE119861	no	no	none
GSE119888	no	no	none
GSE119893	no	no	none
GSE119906	no	no	none
GSE119926	no	no	author
GSE119943	no	no	author
GSE119945	yes	meta	author
GSE119960	no	no	none
GSE119969	no	no	none
GSE119984	no	no	none
GSE119988	no	no	none
GSE120000	no	no	none
GSE120035	no	no	none
GSE120046	yes	meta	none
GSE120061	no	no	none
GSE120064	no	no	author
GSE120067	no	no	author
GSE120107	no	no	none
GSE120108	no	no	none
GSE120112	no	no	none
GSE120145	no	no	none
GSE120155	no	no	none
GSE120156	no	no	none
GSE120180	no	no	none
GSE120190	no	no	author
GSE120199	no	no	none
GSE120239	no	no	author
GSE120261	no	no	none
GSE120269	no	no	none
GSE120365	no	no	author
GSE120372	no	no	none
GSE120386	no	no	author
GSE120404	no	no	author
GSE120406	no	no	author
GSE120407	no	no	author
GSE120408	no	no	author
GSE120410	no	no	none
GSE120421	no	no	author
GSE120446	no	no	none
GSE120462	no	no	author
GSE120467	no	no	none
GSE120503	no	no	none
GSE120508	no	no	none
GSE120515	no	no	none
GSE120522	no	no	none
GSE120537	yes	meta	none
GSE120575	no	no	author
GSE120628	no	no	none
GSE120629	no	no	author
GSE120654	no	no	author
GSE120667	no	no	none
GSE120678	no	no	none
GSE120744	no	no	author
GSE120745	no	no	author
GSE120776	no	no	none
GSE120787	no	no	none
GSE120839	yes	meta	none
GSE120861	yes	object	author
GSE120909	no	no	none
GSE120960	no	no	none
GSE120974	no	no	author
GSE120976	no	no	author
GSE121001	no	no	none
GSE121002	no	no	author
GSE121026	no	no	none
GSE121034	no	no	author
GSE121039	yes	meta	none
GSE121047	no	no	none
GSE121050	no	no	none
GSE121080	no	no	none
GSE121081	no	no	none
GSE121083	no	no	none
GSE121107	no	no	none
GSE121265	no	meta	author
GSE121267	no	no	none
GSE121284	no	no	none
GSE121287	no	no	none
GSE121292	no	no	none
GSE121309	no	no	none
GSE121320	no	no	none
GSE121364	no	no	author
GSE121371	no	no	author
GSE121380	no	no	author
GSE121386	no	no	none
GSE121416	no	no	author
GSE121429	no	no	none
GSE121451	no	no	author
GSE121457	yes	meta	author
GSE121469	no	no	author
GSE121477	no	no	none
GSE121478	no	no	author
GSE121521	no	no	author
GSE121527	no	no	none
GSE121560	no	no	author
GSE121568	no	no	none
GSE121579	no	no	none
GSE121598	no	no	author
GSE121600	no	no	none
GSE121602	no	no	none
GSE121611	no	no	none
GSE121617	no	no	author
GSE121619	yes	object	author
GSE121638	yes	meta	none
GSE121653	no	no	none
GSE121654	no	no	author
GSE121655	no	no	none
GSE121671	no	no	none
GSE121705	no	no	none
GSE121707	no	no	none
GSE121708	no	no	author
GSE121717	no	no	author
GSE121720	no	meta	author
GSE121737	no	no	none
GSE121750	no	no	none
GSE121807	no	no	author
GSE121861	no	no	none
GSE121891	yes	meta	none
GSE121893	no	no	author
GSE121904	no	no	author
GSE121940	no	no	author
GSE121957	yes	meta	none
GSE122009	yes	meta	none
GSE122012	no	no	none
GSE122026	no	no	author
GSE122031	no	no	none
GSE122041	no	no	none
GSE122043	no	no	none
GSE122057	no	no	none
GSE122084	no	no	none
GSE122187	no	no	author
GSE122208	no	no	none
GSE122209	no	no	none
GSE122233	no	no	none
GSE122332	no	no	author
GSE122336	no	no	author
GSE122342	no	no	none
GSE122357	no	no	author
GSE122392	no	no	author
GSE122393	no	no	none
GSE122403	no	no	none
GSE122460	yes	meta	none
GSE122467	yes	meta	none
GSE122529	no	no	none
GSE122662	no	no	author
GSE122666	no	no	none
GSE122687	no	no	none
GSE122706	no	no	author
GSE122713	no	no	author
GSE122730	no	no	author
GSE122740	no	no	author
GSE122743	no	no	author
GSE122762	no	no	none
GSE122783	no	no	none
GSE122784	no	no	none
